INPUT:text_id	INPUT:text
10	!Wowow! began in the back of the Joiners Arms in Camberwell in 2003 as a performance night in a pub by Hanna Hanra and Matthew Stone. In 2004, the collective squatted a large Victorian co-op in Peckham South East London and made it into an artist-run space. They include fashion designer Gareth Pugh, performance artist Millie Brown, video installation artist Adham Faramawy, James Balmforth and artist Matthew Stone. Other artists to have shown in the space include Boo Saville, Gareth Cadwallader, Florence & The Machine's Isabella Summers and Ellie Tobin.
11	The second show by the collective in December 2004 was of paintings, film, photography and performance by recent Slade graduates for a month in the Georgian building at 251 Rye Lane, Peckham, formerly occupied by the Co-op shop, which the artists gutted and refurbished. The artists, who curated the exhibition together, included Chloe Dewe Mathews with photographs of lidos, Matthew Stone with digital recreations of old paintings, Rachael Haines with surrealist inspired collages and Boo Saville with monkey paintings and biro drawings. The opening featured shamanistic chanting, a shopping Trolley Mardi Gras, live bands and a recreation of Michael Jackson's video Thriller by performance artist Lali Chetwynd's troupe.
12	In November 2005, the Children of !Wowow! organised a week-long event in a large warehouse in Peckham, curated by member Gareth Cadwallader, and in a number of smaller venues in the area, featuring members of the collective and also Mark McGowan. Events included Stolen Cinema with cult films from a local rental shop, Richard Elms' play Factory Dog, and a Greasy Spoon Art Salon Breakfast presided over by Lali Chetwynd and Zoe Brown. he week culminated with a party for 1,500 people, with 10,000 bottles of beer, 500 bottles of whiskey, and 13 live bands on stage. The bands included The So Silage Crew, Ludes, The Long Blondes, and Ivich Lives.
13	In January 2019, Trippie Redd announced that he had two more projects to be released soon in an Instagram live stream, his second studio album, Immortal and Mobile Suit Pussy, which was reportedly set to be his fourth commercial mixtape, but it then became scrapped. He explained that Immortal would have tracks where deep and romantic concepts are present, while Mobile Suit Pussy would have contained tracks that are "bangers". Later in March 2019 in another Instagram live stream, Redd stated that his second album had "shifted and changed" and was no longer titled Immortal. He later revealed that the album would be titled !, and inspired by former collaborator XXXTentacion's ? album.
14	Rachel Aroesti of The Guardian described the album as "compelling but contradictory emo-rap", noting lyrical contradictions and concluding it "is doubtless part of the genre's forward march – but it's hard to get past the sense that White has sacrificed a coherent artistic identity in the name of progress." Writing for Pitchfork, Andy O'Connor wrote that the "songs touch on being true to oneself at all costs, but these half-baked lessons land flat since Redd himself doesn't really have an identity, musical or otherwise", further commenting, "Most of what happens here couldn't even realistically be considered rapping", calling the verses "dull and unimaginative on top of being restrictive in form" and "nonsense bars". O'Connor concluded that "the most enjoyable moments feel like controlled chaos. Redd [...] does at least sound more composed. That's to his credit as a person but it's not to his advantage as an artist."
15	The novel, which looks at the club as it changes throughout the years, spans decades in the lives of the women involved in the club, between 1868 and 1932. Many characters are introduced in the course of the novel, but the primary characters are Anne Gordon and Sally Rausch, who in 1868 are new graduates of the Waynesboro Female College. They marry soon after the opening of the book, and the decades that follow chronicle their marriages and those of their children and grandchildren. Santmyer focuses not just on the lives of the women in the club, but also their families, friends, politics, and developments in their small town and the larger world.
16	On the day of their graduation from the Waynesboro Female College in 1868, best friends Anne Alexander and Sarah "Sally" Cochran are invited along with several of the college's female teachers by Mrs. Lowrey, who along with her professor husband operates the college, to become founding members of a new local society, the Waynesboro Woman's Club. The club is intended to promote culture and literature among the educated citizens of the Ohio town, while avoiding controversial subjects such as women's suffrage and other reform movements. Socially ambitious Sally agrees to join because she believes the club might become important in the town, and wants to establish herself as a serious-minded member of adult society. Introspective Anne, the class valedictorian, joins in order to support Sally. Other early members of the Club include Miss Louisa Tucker, a beautiful but cold mathematics teacher who later marries the commencement speaker General Deming; scholarly Amanda Reid, who overcame a poor background to earn a degree from Oberlin and has returned to teach at the Female College; Miss Agatha Pinney, an elderly teacher whose sciatica leads to a secret addiction to the laudanum she is prescribed; Mary, Thomasina and Eliza Ballard, the wife and daughters of a prominent local judge; and the Misses Gardiner, two reclusive spinsters whose nephew, Douglas, attends Princeton and becomes a local attorney and judge.
17	The club's membership grows over time to include the daughters, granddaughters, and other relatives of the early members, and other society women, particularly the wives of the town's numerous and often-changing Protestant ministers. Although the club itself is framed as non-controversial, club meetings and social events sponsored by its members often lead to discussions and conflicts stemming from the widely varying social and political views of the members and their families on subjects such as race, class, ethnic and religious biases, women's rights, labor reform, and the morality of drinking alcohol, attending the theater and celebrating Christmas.
18	Anne, the daughter of a doctor, is in love with Dr. John "Dock" Gordon, her father's protege and a friend of her late brother Rob who was killed in the Civil War. Depressed by his war experiences, John gave up his medical practice for several years, but with Anne's encouragement resumes his practice and the two marry. Anne's father consents to the match, but warns her that John is too affected by the suffering he sees as a doctor and that he is likely to make a poor husband, so Anne will have to be very tolerant. Sally develops a relationship with John's friend Captain Ludwig Rausch, who has bought a small local rope-making business and begun building it into a large, updated factory. Although Ludwig is a German immigrant, his ambitions match Sally's and her banker father, approving of his work ethic and prospects, agrees to their marriage. Thomasina Ballard also makes an unexpected marriage to a church organist as a result of a wedding poem she wrote for Anne.
19	Over the years, Anne and Sally continue their club activities while raising families.  Anne and John have a son, Johnny, and a daughter, Binny; Sally and Ludwig have a daughter, Elsa, and several sons. Although John is an intelligent and caring doctor, he is secretly unfaithful to Anne as a way of relieving the pressure of his past war memories and current responsibilities. Anne eventually finds out, and suspects that John has even fathered a child with his cousin Jessamine Stevens in New Orleans. Although deeply hurt by John's behavior, Anne, remembering her father's advice, chooses to overlook it and even welcomes Jessamine and her son when they later move to Waynesboro. Meanwhile, Ludwig becomes a successful industrialist and Sally a prominent local hostess, later taking over the presidency of the club.
20	Ludwig hires Eliza Ballard as his secretary after she is forced to leave her previous position in her late father's former law firm due to gossiping about partner Doug Gardiner's romance with an Irish Catholic girl whom he later marries. Despite Eliza's gossip and sharp tongue occasionally causing trouble in the town, she shows a softer side by caring for Ariana McCune, a terminally ill young girl who ran away from her oppressively religious parents. Miss Pinney's laudanum addiction eventually becomes public knowledge after she appears increasingly disheveled and unable to control her primary school class. At the instigation of Louisa Deming, Miss Pinney is forced to retire on a small pension and her laudanum supply is cut off. Embarrassed and suffering severe withdrawal, she dies of a heart attack while trying to burn herself to death.
21	Elsa secretly loves her childhood friend Johnny, but Johnny falls in love with the Demings' daughter Julia, who like her mother is beautiful but cold. Julia is more affectionate towards Johnny's younger sister Binny, who is dazzled by Julia's beauty. Binny gathers violets on a cold damp morning to make Julia a May basket, and is rewarded by a kiss from Julia, but the dampness brings on an attack of rheumatic fever and Binny dies. Johnny and Julia marry and have a son, Tucker, while Elsa marries Gib Evans and has a daughter, Jennifer, who becomes Tucker's close friend. Shortly after the turn of the century, Anne is widowed when John has an accident rushing to help a patient in bad weather, and subsequently dies of pneumonia.
22	Julia's frigidity causes Johnny to have an affair with his Irish Catholic nurse, Norah O'Neill. Through Johnny, Norah's younger sister Ellen meets Ludwig and Sally's youngest son Paul.  Ellen and Paul have a secret romance and Ellen becomes pregnant, resulting in Paul quietly marrying her with Ludwig's consent since he is underage.  Although Paul and Ellen are happy, Sally disapproves of the marriage, cuts ties with her son and, in response to a barbed remark by Julia's mother Louisa, informs her about Johnny's affair with Norah. As a result, Julia divorces Johnny, moves to California with Tucker, and later marries a wealthy older man who is past the age of having sex. Johnny, suffering from heart disease and the strain of the divorce, soon dies. Anne and the other members of the club are unaware that Sally was the one who revealed Johnny's affair to Louisa, and instead think Eliza spread the story. Sally eventually is reconciled with Paul after he and his family survive a devastating flood.
23	Ludwig dies and his daughter Elsa takes over as president of the family-owned bank; she also succeeds her mother as president of the club. Elsa's son Ludwig takes control of his grandfather's company after returning from his service in the Great War, where he was gassed. Tucker, separated from Jennifer by his parents' divorce, meets her again as an adult when they are both serving in France in the war, he as a medical corpsman and she as a nurse. After the war, they marry, and Tucker becomes a doctor and returns to take up his practice in Waynesboro. By the 1930s, Sally is suffering from arteriosclerosis and asks Elsa to bring Anne so that she can confess to Anne that she was the one who revealed Johnny's affair. Elsa talks her out of doing so, noting that Anne is happy with the company of Tucker, Jennifer and their children. As a result, Sally has a farewell visit with Anne but does not mention the situation involving Johnny. Sally dies soon afterwards. In 1932, right after Franklin D. Roosevelt is elected president, Anne, the last surviving founding member of the club, dies and the Club commemorates the end of an era.
24	A collection of her nostalgic reminiscences of Xenia, Ohio was published as Ohio Town by Ohio State University Press in 1962.  The director of the Press, Weldon Kefauver, encouraged her to write more.  In 1976 she submitted eleven boxes containing bookkeeping ledgers, her manuscript of Ladies in longhand.  Kefauver accepted the novel, but wanted it trimmed.  By then, Santmyer was spending much of her time in a nursing home and she dictated changes to her friend Mildred Sandoe.  The Press published the novel, printed 1500 copies and sold a few hundred, priced at $35, mostly to libraries.  In 1983, Santmyer was forced for health reasons to move permanently into a nursing home.
25	One local library patron, in returning the book, told the librarian that it was the greatest novel she had ever read. Another patron, Grace Sindell, overheard this and checked the book out herself. After reading it, she agreed with the assessment and called her son Gerald in Hollywood. He was at first reluctant to look at the book, believing that anything that was that good would already be taken. Unable to find a copy in California, he ordered one directly from the publisher and agreed that it had great potential. He convinced his Hollywood friend Stanley Corwin of the same and the two purchased movie, TV and republication rights. They then convinced Putnam to republish the book. Before republication, the Book-of-the-Month club chose Ladies as their main selection. Suddenly, Santmyer and her novel were a media sensation, including front-page coverage in the New York Times.
26	The "90th Anniversary of the Armed Forces of the Republic of Azerbaijan (1918–2008)" Medal (Azerbaijani: "Azərbaycan Respublikası Silahlı Qüvvələrinin 90 illiyi (1918–2008)" medalı) is a commemorative medal of Azerbaijan issued to denote the 90th anniversary of the formation of the Armed Forces of the Azerbaijan Democratic Republic in 1918. It was established in accordance with the decree of the President of Azerbaijan Ilham Aliyev on May 16, 2008. Eligible personnel include warrant officers and ensigns who succeeded in combat training while serving in the Armed Forces of the Republic of Azerbaijan until June 26, 2008, as well as retired officers who actively participated in the formation and strengthening of the Armed Forces of the Republic of Azerbaijan.
27	The American Defense Service Medal was the first military award to use the "A" device which was named the "Atlantic Device" (sometimes was referred to as the "Axis Device"). The "A" device was authorized for wear (in lieu of a 3⁄16 inch bronze star that was worn in lieu of a service clasp on the award) on the medal and service ribbon by any member of the United States Navy, United States Marine Corps, or United States Coast Guard who served on certain vessels in the Atlantic Ocean between June 22 and December 7, 1941 which engaged in armed conflict, or potential armed conflict, with Axis forces in the Atlantic (naval forces of Nazi Germany's Kriegsmarine). Such personnel were awarded the American Defense Service Medal with the "Atlantic Device" (Atlantic Fleet service), the intent being to recognize those who had participated in the "undeclared war" when the U.S. was assisting Britain with war convoys and German U-boat interdiction.
28	As of February 8, 2007, only those airmen (Air Force active, Reserve, or Guard) who were assigned to Thule Air Base (north-east Greenland) qualify for the "A" (Arctic) device. Although portions of Alaska are within the Arctic Circle, there are no American military bases within that region. The "A" is worn on the center of the ribbon except when worn with oak leaf clusters. Whenever oak leaf clusters are authorized for wear on the ribbon, the "A" is placed to the wearer's right of the oak leaf clusters on the ribbon. Only one "A" device may be worn on the ribbon.
29	Kinsey Millhone, 32, private detective investigates the death of prominent divorce lawyer Laurence Fife. His murder eight years earlier was blamed on his wife, Nikki Fife. Upon being released from prison, Nikki hires Kinsey to find the real murderer. In the course of the investigation, Kinsey becomes involved with Charlie Scorsoni, the late Mr. Fife's former law partner. She discovers Fife's death has been linked to that of a woman in Los Angeles, his law firm's accountant; both died after taking poisonous oleander capsules, which had been substituted for allergy pills. Kinsey tracks down the accountant's parents and former boyfriend. She then goes to Las Vegas to interview Fife's former secretary, Sharon Napier, who is killed minutes before Kinsey arrives. Back in California, Kinsey is mystified that Nikki's son, Colin, recognizes Laurence's first wife, Gwen, in a photograph. Kinsey surmises that Gwen was having an affair with her ex-husband at the time of his death. She accuses Gwen, who confesses. Shortly afterwards, she too is dead, killed in a hit-and-run crash.
30	Kinsey has solved the case she was hired to investigate; but in a plot twist, she discovers that her previous notions about the accountant's death were entirely wrong: in fact, it was Scorsoni who killed her when she discovered he was skimming dividend money from estate accounts under his management. Scorsoni used the same method that Gwen used to kill Fife, so it would be assumed the same person committed both murders. In a final confrontation, he chases Kinsey across the beach, armed with a knife. Kinsey hides in the shore line, and she is forced to remove her shoes and pants. Before Scorsoni can kill her, she shoots him dead.
31	Looking back at the series soon after the author's death, Library Journal Reviews remarked on the slow build up to successful reviews, including a quote from its own review: "Critic Sarah Weinman notes that pseudonymous New York Times critic Newgate Callendar dismissed A Is for Alibi as "competent enough, but not particularly original." Alas, LJ's reviewer was equally unenthusiastic in an April 1, 1982, review, waving the book aside as "nothing to take it out of the ordinary." Before those less enthusiastic words, they had said, "The female detective is well drawn and the plot moves at a fast clip".
32	The "All God's Children" Campaign is an effort by the Human Rights Campaign (HRC) to challenge religious opposition to the legalization of same-sex marriage and promote LGBT acceptance in the Southern United States. According to the HRC, the program was designed to "change hearts and minds, improve the public perception and overall awareness of LGBT people, begin to reduce the painful stigma that many face in their daily lives, and help future efforts to enact pro-equality legislation." The program targeted Mississippi, Alabama, and Arkansas – all states that had no form of housing, employment, or marriage protections for LGBT citizens.
33	The Southern United States is far more culturally conservative than the North. In the early 2000s, while northern states began legalizing same-sex marriage, many southern states were passing laws banning it. However, southern support as a whole rose an entire 26 percentage points from 2003 to 2013, leaving the south currently split about evenly on the issue of same-sex marriage. Scholars suggest that some of the factors leading to this cultural change include generational differences, the "friends and family effect," and a new appreciation for the separation of church and state. Approximately 64% of Southerners can say that they know someone who is gay or lesbian, a factor that is considered crucial for support of legislation such as same-sex marriage.
34	The South also holds the lowest regional social climate index ranking for the LGBT community in the United States, with a score of 55.. Same-sex couples with kids have a household income that averages about $11,000 lower than heterosexual couples. Gay and bisexual men in the south hold higher HIV infection rates than those in other parts of the country; additionally, only 3⁄475% of southern LGBT people are covered by health insurance. "Discomfort" with exposure to LGBT lifestyles, such as attending a same-sex wedding or seeing pictures of a coworker with a same-sex partner, polls about 5-10 percentage points higher in the South than in northern states.
35	The term originated in the United Kingdom and was first noted during Iain Duncan Smith's leadership of the Conservative Party from 2001 to 2003. It has been subsequently popularised by former Conservative Party aide Tim Montgomerie, the former editor of ConservativeHome, who has written on its usage. It has also been used in the United States where it has been picked up by publications such as The Weekly Standard that considered its implications for the Republican Party. The term has been defined in the United States by The Oklahoma Gazette as follows: 
36	Soo voer gesongen, soo na gepepen is a c.1668–1670 oil-on-canvas painting (H 133.7 cm × W 162.5 cm) by Dutch artist Jan Steen, that is currently featured in the Mauritshuis museum in The Hague. The painting is a celebratory holiday scene that depicts three generations of a Dutch family, and serves as an allegory about parental examples, vice, and influence. This subject has been painted thirteen times by Jan Steen and has also been known as The Cat Family, or Jan Steen's Family. Of the many renditions, the Mauritshuis version is considered to be the exemplar of the series.
37	The holiday scene depicts the proverb of "As the Old Sing, So Pipe the Young" and deliberately alludes to the fact the elders in a family have certain traits that recur in subsequent generations. Inherited traits were viewed by the Dutch people at the time as being a two-sided coin, where a child would inherit genetic traits from their parents, but would also learn to emulate the behaviors that they witnessed. This is also referred to as nature versus nurture. The depiction of three generations of family members in this scene is a direct allusion to this idea, with the parents providing seemingly poor examples to their children by drinking alcoholic beverages and encouraging the children to smoke. The title can also be interpreted as "Like father, like son."  Such proverbs were popular in Dutch painting and are represented by many paintings by Steen and other artists. This painting has been linked to Steen's work titled The Twelfth Night Feast, the two paintings forming a diptych of the same theme. The theme is thought to be inspired by Jacob Jordaens, a contemporary Flemish painter. Jordaen's version preceded Steen's, having been painted in the year 1683. Like Jordaens, Steen paired proverbs with merry company paintings, which was popular and served a didactic purpose for the viewer.
38	As a genre scene, the painting contains many iconographic elements that are open to the viewer's interpretation and ideas that relate to Dutch popular culture of the time. The painting consists of a gathering of family members (parents, children, grandparents) around a table that is draped with a carpet typical of Dutch scenes. Though the subject has been painted by Steen an estimated thirteen times, each one was depicted in a household setting as the theme for child rearing and parental interaction. Like most of Steen's paintings As the Old Sing... is of the merry company genre and depicts family life as a part of popular culture during the 17th century. Paintings of this particular period are commonly festive scenes in Dutch domestic settings. The large canvas displays Steen's mastery of painting light on surfaces, as can be seen in the treatment of light from the window reflected onto the surfaces of the models' clothing and furniture accents. The facial features of the subjects are painted in a realistic style with attention to light and shadow. The overall scene of the merry atmosphere is thought to be open and inviting with the figures situated in an open arrangement, with warm colors of orange, pink, purple, and brown; while casually enjoying themselves. The old lady in the foreground, thought to be Steen's mother, is holding a sheet of music that is open and can be easily read by the viewer. Steen is distinguished as a skilled comic painter and for depicting himself in his paintings, as well as members of his own family. Here he has depicted himself as the father seen in the right side of the canvas who is teaching his younger son to smoke a pipe. Such a painting was thought by the artist to have universal appeal and understanding, but of course, it would have had more resonance with a well-read person familiar with the proverbs, symbolism, and culture of the seventeenth century. Ironically, Steen's knowledge of such readings and traditions is considered to be rather sophisticated.
39	The figures in the scene are Steen at the right wearing a black hat and teaching his younger son to smoke, his older son playing a bagpipe, a young girl at the far right edge of the canvas, Steen's mother in the right-side foreground, and an unknown female family member holding a baby. There is also a male servant at the rear center who is pouring an alcoholic drink into the glass of Steen's wife, who is pictured at the left of the canvas wearing a green coat and lavender skirt with her glass outstretched. There is a dog in the foreground. At the center of the table is an oyster which has been a popular symbol in Dutch genre painting. The oyster has been known as a symbol of Aphrodite, love, fertility, and sexual pleasure. The symbol is befitting of such as scene as it is associated with foods served at a feast of the gods. The oyster was commonly depicted in Dutch genre paintings up until the year 1635 when it became less common. After the year 1660 the symbol again became a common theme as it is here in Steen's 1668–1670 painting. In the painting the woman in the lavender skirt sitting at the left is a depiction of Steen's wife. She and Steen both wear a pink ribbon, she in her hair, and he on his hat. This ribbon is a unifying element between the two and represents their being cut from the same spool of ribbon. The parrot situated at the top left of the painting is a symbol of mimicry. To the left of the parrot is a pair of birds in a small birdcage which symbolizes two parents in a small abode. The pipe in the scene may have multiple meanings referring to a clay smoking pipe, the act of singing, or to a drinking vessel.According to the Dutch, the bagpipe was not an esteemed instrument as it was thought to be lowly and obnoxious. Such a symbol here represents bawdiness and low class, which is being encouraged by the parents. The young man playing the bagpipe is an older son of Steen. The laughing face of Jan Steen is commonly depicted by the artist in his paintings and is considered to be his iconography while laughter is also thought to be a symbol of foolishness and or fault. A reader might interpret the many laughing faces as gained wisdom, human fault, or lessons learned. Steen's iconographic grin has become somewhat of a folk character to museum patrons who delight in seeing his face in paintings.
40	Steen has been detailed by historians as being from a middle-class, Catholic family of Leiden, who was also preoccupied with drinking and imprudent of his finances. Historical accounts state that Steen's father owned a brewery but also suggest that the brewery business became less profitable due to economic demands and competition. As a result, Steen was encouraged by his parents to pursue a career in painting, which was a respected profession of the time. From his experience as a painter Steen endured constant fluctuations of financial difficulty. As a painter he often depicted himself within his comical scenes to show himself immersed in the culture he depicted and is also as an allusion to the idea that art imitates life. Steen was a resident of The Hague where he married Margariet or Grietje, and also became a member of The Hague Guild. As a member of the guild Steen is thought to have pursued comic painting as the path to a chosen specialization.
41	On June 17, 2016, after a hiatus from social media, Glover tweeted "pharos.earth", a link to download his new app. The app itself placed the user in outer space looking at a small blue planet while a clock counted down to zero. The app then had the user crash down from space, placing them on a map that was located on Joshua Tree, California. The app then showed the dates of his upcoming performances in Joshua Tree, where the user could also purchase tickets. The concert festival was to debut the album and give the audience the "full-album experience". From September 3 to 5, nearly three months before the release of his album, Glover held three concert performances at Joshua Tree to debut the album. Glover wore glow-in-the-dark paint on his braids and a pink and yellow skirt, with his bandmates wearing similar attire. He performed eleven songs during the concert with minimal rapping, mainly featuring a funk/jazz vibe.
42	Mosi Reeves of Rolling Stone wrote that ""Awaken, My Love!" is an enthralling trip into the land of funk", while Dan Bogosian from The A.V. Club wrote "Is Childish Gambino suddenly the new Prince, a virtuoso multi-instrumentalist always ready to keep the world an arm’s length away from knowing what he's thinking? Is he D'Angelo, a soul god fighting against his first image with all-time great music? No. He is Donald Glover, a man who can perform and write comedy, act in drama, and drop a truly wonderful album on short notice with all the influences and instructions spelled out". Perry Kostidakis of the FSView & Florida Flambeau wrote that "with each successive album, Childish Gambino has exhibited phenomenal growth, but no more than on his latest release. Unflinchingly ambitious and boldly different, "Awaken, My Love" calls back the sounds and themes of the 1970s funkadelic movement to provide a wholly original, emotional and immersive musical experience", with The Guardian's Gwilym Mumford adding "only the limitations of his voice occasionally let him down – he doesn't quite have the range to nail Awaken's more ostentatious vocal lines. Still, it's a minor gripe when there's so much here to enjoy". Jon Pareles of The New York Times said, "It's at once a homage and a parody, equally aware of that era's excesses and its glories, of the way that the most memorable 1970s R&B merged sensuality, activism, humor, toughness, outlandishness, futurism, soul roots, wild eccentricity and utopian community spirit. That's an extremely high bar, but at its best, "Awaken, My Love!" recalls many of those virtues". Tim Sendra of AllMusic said, ""Awaken, My Love!" is a stone-cold blast from beginning to end".
43	Matthew Strauss of Pitchfork said, "There are times, however, when that nodding feels more like mimicry than anything else. Maybe he'll figure out how to smuggle Donald Glover's heart into Childish Gambino's brain eventually, but if he hasn't figured out what he wants out of Childish Gambino yet, it's increasingly rewarding watching him try". Scott Glaysher of XXL said, "Childish Gambino gets definite props for pushing the envelope and refusing to operate within any genre confinements on this refreshing 49-minute trip through the funkadelic 1970s. While these blurred lines make this album a little hard to follow, "Awaken, My Love!" proves his versatility as a rapper turning over a new leaf". Kitty Empire of The Observer said, "Throughout, Glover's genre fluency is unimpeachable; the only minor drawback is the overmannered air of some of these period pieces, where there could be more straight-up abandon, as on the persuasive 'Me and Your Mama'". Vice negatively described the album as "pure Funkadelic cosplay". Critic Robert Christgau regarded the album as "a seriously overrated piece of romantic P-Funk retro that owes its Grammy nomination to Atlanta".
44	"Awaken, My Love!" debuted at number five on the US Billboard 200 with 101,000 album-equivalent units, marking the third highest debut of the week.  It was the fourth best-selling album of the week, selling 72,000 copies according to Nielsen SoundScan. The album was also streamed 41.5 million times in the first week. It is Glover's highest-charting album. As of December 28, 2016, the album has sold 151,000 album-equivalent units, with 100,000 in physical album sales. On September 27, 2018, the album was certified platinum by the Recording Industry Association of America (RIAA) for combined sales, streaming and track-sales equivalent of a million units in the United States.
