INPUT:text_id	INPUT:text
10	وقد قسمت منظمة الصحة العالمية دورة حدوث الجوائح من خلال تصنيف من ستة مراحل، ليصف العملية التي من خلالها ينتقل فيروس الإنفلونزا الجديد من كونه مرض أُصيب به أفراد قلة، إلى نقطة تحوله إلى جائحة. هذا يحدث مع فيروس يصاب به على الأغلب حيوانات، مع حالات قِلة لانتقال العدوى إلى الإنسان، يليها مرحلة انتقال المرض ما بين البشر من فرد إلى آخر مباشرة، ويتحول الأمر بالنهاية إلى جائحة مع انتشاره عالميًا وضعف القدرة على السيطرة عليه، حتى نتمكن من إيقافه. لا يُصنّف مرض ما على أنه جائحة بسبب انتشاره الواسع وقتله لكثير من الأفراد، وإنما لابد أن يكون مُعديًا ويمكن انتقاله من شخص لآخر. فمرض السرطان مثلا قد تسبب في وفاة الكثيرين حول العالم ولكنه ليس مُعديًا أو منقولاً بين الأفراد.
11	نشرت منظمة الصحة العالمية مقالًا في الكتاب الارشادي التأهب للجوائح في عام 1999م ؛ لمواجهة جائحة محتملة للإنفلونزا، وتم تحديثه في عامي 2005 م، و2009 م، وفيه عرّفت المراحل والإجراءات المناسبة للتعامل مع كل مرحلة، وذلك في مذكرة مساعدة بعنوان " منظمة الصحة العالمية: وصف مراحل الجائحة والإجراءات التنفيذية الرئيسة لكل مرحلة". وفي النسخة المعدلة لعام 2009 م، وضعت التعريفات والمراحل بشكل أكثر تفصيلاً وتوضيحًا، وصدرت هذه النسخة في فبراير 2009 م. لم تُذكر جائحة فيروس انفلونزا أ H1N1 في المقال ولم تكن قد ظهرت بعد. كل نسخ المقال تتناول مرض الإنفلونزا. تضمنت النسخ القديمة تصنيف مراحله بحسب الانتشار ومدى شدة وضراوة المرض (حدة الجرثوم) ولا معدل الوفيات الناتجة عنه، ولكنها حُذِفت من المقال الأخير المحدّث.
12	يكمن التدبير المفتاحي بالسيطرة على انتشار المرض المعدي في محاولة تخفيض ذروة الجائحة أو قمتها في المنحنى، التدبير الذي يُعرف بتسطيح المنحنى. يساعد ذلك في إنقاص خطر استنزاف الخدمات الصحية أو إغراقها بالإضافة إلى توفير المزيد من الوقت حتى يتم تطوير لقاح وعلاج له. تشمل التداخلات غير الدوائية التي يمكن اتخاذها -بغاية تدبير انتشار المرض- التدابير الوقائية الشخصية مثل نظافة اليدين وارتداء الأقنعة والحجر الذاتي، والإجراءات المجتمعية من الإبعاد الاجتماعي مثل إغلاق المدراس وإيقاف الفعاليات التي تنطوي على التجمعات الكبيرة، ومشاركة المجتمع في تشجيع القبول والمشاركة في مثل هذه التداخلات، بالإضافة إلى الإجراءات البيئية مثل تنظيف الأسطح.
13	نشأ فيروس نقص المناعة المكتسبة في أفريقيا وانتقل منها عبر هايتي إلى الولايات المتحدة الأمريكية في الفترة كما بين 1966- 1972 م. ويصنف الإيدز كجائحة ذات معدل انتقال عدوى بنسبة تصل إلى 25% في شمال وجنوب أفريقيا. وفي عام 2006 م، وصلت نسبة انتشاره بين النساء الحوامل في جنوب أفريقيا إلى 29.1%. وقد ساعد التعليم الفعال عن الممارسات الجنسية الآمنة، والتدريبات الوقائية ضد الأمراض المنقولة عن طريق الدم في خفض معدلات العدوى في عدة دول بأفريقيا ممن اهتممن ببرامج التعليم الوطني. وما تزال ترتفع معدلات العدوى (الإصابة) في أسيا والأمريكتين. ومن المحتمل وصول عدد ضحايا الإيدز إلى ما بين 90- 100 مليون شخصًا في أفريقيا بحلول عام 2025 م.
14	تسببت المواجهات بين المسكتشفين الأوروبيين والسكان الأصليين في بقية أرجاء العالم في انتشار الجوائح المحلية ذات الآثار الخبيثة المُهلِكة، فقتل المرض نسبة من السكان الأصليين (غوانش) في جزر الكناري في القرن السادس عشر. وقد قتل الجدري نصف السكان الأصليين لجزيرة هيسبانيولا. ودمر الجدري المكسيك في العقد 1520: 1530 م، حيث أدى لوفاة 150000 فردًا في تينوتشتيتلان وحدها، بما في ذلك الإمبراطور، وبيرو في 1530: 1540م بمساعدة الغزاة الأوروبيين. وقد قتل الجدري ما يزيد عن مليوني من السكان المكسيكيين الأصليين في القرن السابع عشر. وفي عامي 1618- 1619 م، قضت الجدري على 90% من الأميركيين الأصليين بخليج ماساتشوستس. وخلال الفترة 1770- 1780م، أدى الجدري لوفاة 30% من الأمريكيين الأصليين في إقليم الشمال الغربي الهاديء. وقد أحدث في فترة جائحة الجدري في أمريكا الشمالية 1775- 1782م، وجائحة جدري السهول الكبرى 1837- 1838م دمارًا شاملاً، وتسبب في إجلاء السكان وهم هنود السهول. ويرى البعض أن وفاة ما يزيد عن 95 % من الشعوب الأصلية للأمريكتين في العالم الجديد يرجع إلى جوائح العالم القديم من جدري وحصبة وانفلونزا. وطورالأوروبيين بمرور القرون مناعتهم ضد هذه الأمراض، بينما لم يقدر السكان الأصليون على ذلك.
15	وقد خلص الباحثون إلى أن مرض الزهري انتقل من العالم الجديد إلى أوروبا نتيجة رحلات كولومبوس، حيث حمل الأوروبيون بكتريا الزهري المدارية غير المنقولة جنسيًا إلى أوطانهم حيثما تطورت البكتريا إلى أشكال أكثر فتكًا في ظل الظروف البيئية المختلفة. وكان هذا المرض أكثر شراسة مما هو عليه حاليًا، فقد مثّلَ القاتل الأكبر في أوروبا خلال عصر النهضة. وفي الفترة ما بين عامي 1602- 1796 م، أرسلت شركة الهند الشرقية الهولندية بعثة من مليون أوروبي للعمل في أسيا، وانتهي الحال بنجاة وعودة أقل من الثلث إلى أوروبا، فقد مات البقية بسبب الأمراض. فقد قتلت الأمراض من الجنود البريطانيين في أكثر مما قتلته الحرب.
16	خلال حرب الثلاثين عامًا (1618-1648)، قُتل ما يقارب 8 ملايين ألماني بالطاعون الدبلي والتيفوس. ولعب المرض دورًا كبيرًا في دمار جيش نابليون الكبير في روسيا عام 1812. خلال الانسحاب من موسكو، وبلغ عدد الوفيات من أفراد الجيش الفرنسي إثر إصابتهم بالتيفوس أكثر ممن قتلوا على أيدي الروس. عاد إلى الوطن من بين الـ 450,000 جندي الذين عبروا نهر النيمان في 25 يونيو عام 1812، ما يقل عن 40,000 فرد. ومات عدد من أفراد القوات العسكرية إثر الإصابة بالتيفوس يفوق ضحايا العمل العسكري ما بين عامي 1500 و1914. في مطلع عام 1813، شكل نابليون جيشًا جديدًا مؤلف من 500,000 فرد لاستبدال خسائره في روسيا. في الحملة المقامة بذلك العام، توفي ما يقارب 219,000 جندي من جيش نابليون على إثر الإصابة بالتيفوس. شكل التيفوس عاملًا مهمًا في مجاعة أيرلندا الكبرى.
17	كان الجدري مرضًا معديًا يسببه فيروس فاريولا (فيروس الجدري). أدت الإصابة بالمرض إلى مقتل ما يقدر بنحو 400,000 أوروبي سنويًا خلال السنوات الأخيرة من القرن الثامن عشر. خلال القرن العشرين، قُدّر أن الجدري كان مسؤولًا عما يقارب 300-500 مليون وفاة. وفي مطلع خمسينيات القرن العشرين، وقعت ما يقدر بـ 50 مليون حالة إصابة بالجدري حول العالم سنويًا. وبعد إطلاق حملات التلقيح الناجحة بين القرنين التاسع عشر والعشرين، وثّقت منظمة الصحة العالمية استئصال الجدري في ديسمبر عام 1979. حتى اليوم الحالي، يُعد الجدري المرض البشري المعدي الوحيد المستأصَل بشكل كامل، وأحد فيروسين معديين وحيدين مستأصلين إلى جانب طاعون البقر.
18	أصيب ربع عدد سكان العالم الحالي بالمتفطرة السلية، واستمرت إصابات جديدة بالحدوث بمعدّل إصابة في الثانية. ستتطور ما يقارب 5 إلى 10% من هذه حالات العدوى الكامنة إلى مرض فعال، ما يؤدي إلى مقتل أكثر من نصف ضحايا هذا المرض في حال لم يُعالج. سنويًا، يصاب 8 ملايين شخص بالسل، ويموت مليوني شخص من تفشي المرض. في القرن التاسع عشر، أدت الإصابة بالحصبة إلى مقتل ما يقارب ربع السكان البالغين في أوروبا، ومع حلول عام 1918، قدرت حالة من أصل تسع وفيات في فرنسا جراء الإصابة بالسل. خلال القرن العشرين، أدى السل إلى مقتل 100 مليون شخص تقريبًا. يُعد السل حتى اليوم أحد أهم المشاكل الصحية في العالم المتطور.
19	كان مرض الملاريا شائعًا في أغلب أوروبا وأمريكا الشمالية، بينما لا توجد حالات إصابة فيهما حاليًا. يمكن أن الملاريا قد ساهمت في انهيار الإمبراطورية الرومانية. أصبح هذا المرض معروفًا بالحمى الرومانية. أصبحت المتصورة المنجلية تهديدًا حقيقيًا لجميع المستعمرين والسكان الأصليين على حد سواء حين ظهرت في الأمريكتين مع ظهور تجارة العبيد. أنهكت الملاريا مستعمرة جيمستاون وخربت بشكل منتظم جنوب الولايات المتحدة ومنطقة الغرب الأوسط. ومع حلول عام 1830، وصلت إلى منطقة إقليم الشمال الغربي الهادئ. خلال الحرب الأهلية الأمريكية، كان هناك ما يقارب 1.2 مليون حالة إصابة بالملاريا بين جنود كلا الطرفين. استمرت الإصابة في الولايات المتحدة بملايين الحالات حتى ثلاثينيات القرن الماضي.
20	قد تساهم العضويات الحية المقاومة للمضادات الحيوية التي تُعرف أحيانًا باسم «الجراثيم الخارقة» في إعادة ظهور الأمراض التي تُعد حاليًا تحت السيطرة. على سبيل المثال، تبقى حالات السل المقاومة لخطوط العلاج الفعالية تقليديًا، تبقى مصدر قلق معتبر بالنسبة لخبراء الصحة. سنويًا، يُقدر وقوع ما يقارب نصف مليون حالة سل مقاومة للعديد من المضادات الحيوية حول العالم. تملك كل من الصين والهند المعدلات الأعلى بالسل المقاوم للمضادات الحيوية المتعددة، أفادت منظمة الصحة العالمية أن ما يقارب 50 مليون شخص حول العالم مصابين بالسل المقاوم للعديد من المضادات الحيوية، و79% من هذه الحالات مقاومة لثلاثة أو أكثر من المضادات الحيوية. في عام 2005، وّثقت 124 حالة إصابة في الولايات المتحدة.
21	تُعد الحمى النزفية الفيروسية مثل مرض فيروس الإيبولا وحمى لاسا وحمى الوادي المتصدع ومرض فيروس ماربورغ بالإضافة إلى الحمى البوليفية النزفية، تُعد أمراضًا معدية وقاتلة للغاية، مع احتمال أن تصبح جائحية. تُعد قدرتها محدودة على التفشي والانتشار بشكل كافٍ لتتسبب بحدوث جائحة، إلا أن انتقال هذه الفيروسات يتطلب الاتصال المباشر مع الحامل المعدي، ويملك حامل المرض فترة صغيرة تفصله عن الموت أو المرض الشديد. علاوة على ذلك، تتيح المدة الزمنية القصيرة -بين أن يصبح الحامل معديًا وبداية ظهور الأعراض- للخبراء الطبيين إمكانية حجر الحامل بشكل سريع، ومنعه نقل العامل الممرض إلى شخص أخر. يمكن أن تحدث طفرات وراثية، ما قد تفاقم قدرتها على نشر الضرر، لذا تجب المراقبة المباشرة من قبل اختصاصيي الأمراض المتفشية.
22	تكون بعض الأمراض المسببة بفيروسات الكورونا حيوانية المنشأ، ما يعني أنها تنتقل بين الحيوانات والبشر. وجدت التحريات التفصيلية أن فيروس SARS-CoV قد انتقل من قطط السيفيت إلى البشر، وأن فيروس MERS-CoV يتنقل من الإبل العربي إلى البشر. تدور معظم فيروسات الكورونا بين الحيوانات التي لم تصب البشر بعد. تشمل علامات الإصابة الأعراض التنفسية والحمى والسعال وقصر النفس وصعوبات في التنفس. في الحالات الأكثر شدة، يمكن للعدوى أن تسبب ذات رئة ومتلازمة تنفسية حادة وفشل كلوي وحتى الموت. تتضمن التوصيات المعيارية لمنع تفشي العدوى غسل اليدين بشكل منتظم وتغطية الفم والأنف عند السعال والعطاس وطهي اللحوم والبيض بشكل جيد وتجنب الاتصال المباشر مع أي حامل لأعراض مرض تنفسي مثل السعال والعطاس.
23	في عام 2003، كان الطبيب الإيطالي كارلو أورباني (1956-2003) أول من عرّف المتلازمة التنفسية الحادة الوخيمة (السارس) بأنه مرض جديد معدٍ على نحو خطير، على الرغم من أنه التقط العدوى وتوفي بسببها. تحدث المتلازمة التنفسية الحادة الوخيمة إثر الإصابة بفيروس كورونا المسمى بفيروس كورونا المرتبط بالمتلازمة التنفسية الحادة الشديدة النوع 1 (SARS-CoV). ساعدت الإجراءات السريعة التي اتخذتها السلطات العالمية والمحلية مثل منظمة الصحة العالمية في إبطاء انتقال وفي نهاية الأمر كسر سلسلة انتقاله، الأمر الذي انتهى بتحديد الجائحة محليًا قبل أن تتفشى. من ناحية أخرى، لم يُستأصل المرض، لذا قد يتكرر حدوثه. سمح ذلك بمراقبة والإبلاغ عن الحالات المشكوك بها من ذات الرئة غير الاعتيادية.
24	لا يمكن حتى الآن تصنيف إنفلونزا الطيور على أنها جائحة، لأنه من غير الممكن بعْد للفيروس أن يبقى وينتقل من إنسان إلى أخر بشكل فعال. عُرفت الحالات حتى الآن بانتقالها من الطيور إلى البشر، ومع حلول ديسمبر عام 2006، كان هناك حالات قليلة جدًا (إن وجدت) انتقل فيها الفيروس من إنسان إلى إنسان. تشرع فيروسات الإنفلونزا العادية العدوى من خلال ارتباطها بمستقبلات في الحلق والرئتين، إلا أن فيروس إنفلونزا الطيور يمكنه الارتباط فقط بمستقبلات تقع في عمق الرئتين عند البشر، الأمر الذي يتطلب اتصالًا قريبًا ومطولًا مع المصاب، ما يعني محدودية انتقال الفيروس من إنسان إلى إنسان.
