INPUT:text	INPUT:text_id	GOLDEN:is_correct
Une piste d’atterrissage construite au début des années 1990 permet l'accueil de petits avions. L'un d'eux, exploité par une mission protestante locale, la Pacific Missionary Air Service, réalise la liaison entre Ulithi, Fais et les Îles Yap, deux fois par semaine avec deux Beechcraft Queen Air. Ces vols ont pour principale fonction d'assurer le transport vers l'hôpital de Yap de personnes ayant besoin de soins médicaux urgents mais les passagers, jusqu'à huit, et le fret sont possibles. Les tarifs sont cependant trop élevés pour la plupart des familles,,. À partir du 15 février 2018 et toutes les deux semaines, un avion de la Caroline Islands Air assure le trajet Îles Yap-Ulithi-Fais-Îles Yap. Un navire gouvernemental effectue également des voyages mensuels irréguliers permettant l'approvisionnement et quelques exportations,.	4339	yes
Le faisan de Swinhoe partage son île avec le faisan mikado (Syrmaticus mikado), la torquéole de Formose (Arborophila crudigularis) et le faisan de Colchide (Phasianus colchicus formosanus) mais n’entre pas en compétition interspécifique directe avec eux. Comme le rapporte Severinghaus (1980), il existe même un phénomène de commensalisme entre le faisan de Swinhoe et la torquéole de Formose, tandis que la perdrix gratte la litière avec les pattes, le faisan  la suit et creuse le sol meuble avec le bec. Severinghaus (1980, 1996) ajoute que le furet (Melogale moschata) représente probablement le plus grand prédateur mammalien et qu’un autour huppé (Accipiter trivirgatus) a été observé en train de dévorer une femelle de faisan de Swinhoe.	4394	yes
L'histoire de l'île durant la Seconde Guerre mondiale et le ressenti de la population — interloquée et effrayée — sont connus par un chant composé après la guerre. Durant cette période, Fais est défendue par des forces navales japonaises stationnées sur l'île et un champ de mine est installé sur le plateau. De jeunes hommes sont envoyés sur les îles Yap afin d'y travailler aux défenses contre les bombardements américains. Un sous-marin américain, le USS Drum tire sur les installations japonaises de l'île le 4 juillet 1944. Un contact avec un navire de reconnaissance américain a lieu le 20 décembre 1944. Par la suite, l'île est bombardée par les navires américains et la population ne peut se réfugier que dans des abris de fortune. Des forces armées investissent l'île avec des véhicules amphibies le 1er janvier 1945. Le 4 janvier 1945, les insulaires sont rassemblés devant la maison du chef suprême de l'île pour y assister à la levée du drapeau américain. 	4316	yes
Birdlife (2004) considèrent ce faisan comme « bientôt menacé ». Les Japonais se glorifient de leur intime communion avec le milieu naturel. En vertu de leur conception animiste (shintoïsme, bouddhisme), l’homme fait partie intégrante de la nature et s’octroie donc le droit de la façonner à sa guise. Or, cette philosophie, qui autorise la conquête des terres, s’est soldée par des effets désastreux sur la faune et la flore. Déforestation et défrichement des basses pentes pour la riziculture, assèchement des baies et des marais pour l’industriedu tourisme, empiétement des constructions humaines sur les terres…autant de dégradations qui vont, finalement, à l’encontre de leur attachement viscéral pour la nature (Hennache & Ottaviani 2006).	4413	yes
Encore actuellement, ce tissu n'est jamais utilisé dans le quotidien et comporte toujours une forte valeur symbolique. Il peut être donné à un ami quittant l'île, comme un souvenir ou un élément de richesse. Il est employé lors des cérémonies d'excuses lorsqu'une famille a fait du tort à une autre ou offensé un chef. Le machi est toujours l'expression tangible de l'amour d'une femme, d'une sœur ou d'une fille à la mort d'un homme. Il est le cadeau le plus apprécié dans ces circonstances et accompagne avec d'autres objets le corps lors des funérailles. Le machi est aussi exposé en tant qu'objet décoratif et peut être perçu comme un symbole national des États fédérés de Micronésie. Sa marchandisation a été interdite par le conseil de Tamol, conseil des chefs traditionnels des îles extérieures de l'État de Yap, car il est toujours perçu comme un tamol bwalungal.	4344	no
Le film culmine avec une réception tenue à la maison dans laquelle les intrigues de la carrière de Newton, la famille et les affections pour Becky sont réunis. Ennuyée par Becky pour son attitude supérieure et suspecte, Gwen la confronte devant tout le monde, l'accusant d'essayer de reconquérir Newton. Gwen sort de la maison en larmes, et Newton la suit, pensant que cela fait toujours partie du plan. Dehors seul, Newton loue Gwen pour son éclat, mais Gwen répond qu'elle voulait que leur mariage fonctionne. Ses sentiments pour lui sont évidents. Le patron de Newton lui donne la promotion. Newton regarde, confus, alors que Gwen s'en va. Becky profite de l'occasion pour se rapprocher de Newton, et lui demande si toutes les histoires élaborées de Gwen étaient réelles. Newton répond qu'elles étaient toutes vraies et court rejoindre Gwen.	4353	yes
Dipan, 43 ans, éditeur de Jagriti Prakashani qui a publié le livre de Avijit Roy, Biswasher Virus (Le virus de la foi en bengali), a été poignardé à Dacca le 31 octobre 2015. Selon certaines informations, il aurait été tué dans son bureau du troisième étage de la maison d'édition Jagriti Prokashoni. L'attaque a fait suite à un autre coup de couteau, plus tôt le même jour, dans lequel l'éditeur Ahmedur Rashid Chowdhury et deux écrivains, Ranadeep Basu et Tareque Rahim, ont été poignardés dans leur bureau dans une autre maison d'édition. Les trois hommes ont été emmenés à l'hôpital, et au moins un d'entre eux était dans un état critique,,	4365	no
Fais comporte des maisons des hommes et des maisons menstruelles bâties le long du rivage. Elles sont des lieux de réunion pour les hommes ou les femmes, servent d'espace de réunion ou de travail, d'espace d'apprentissage pour cultiver des compétences professionnelles traditionnelles, de lieu pour accueillir les rites relatifs à la puberté. Les seules femmes autorisées à entrer dans les maisons des hommes sont des servantes ou des concubines,. Les vagues provoquées par le passage d'un violent typhon en 1987 ont détruit les maisons menstruelles, situées près de la plage. Plusieurs facteurs ont provoqué le report puis l'abandon de la reconstruction. Le premier est le manque de main d'œuvre du fait de l'éloignement de nombre de jeunes hommes poursuivant des études ou étant employés hors de Fais. Le second est que les insulaires se reposent alors de plus en plus sur les programmes fédéraux américains d'aide en cas de catastrophe pour la reconstruction, mais ces programmes n'ont généralement pas concerné les structures communautaires. Enfin, l'éducation occidentale, l'influence des missions catholiques et l'économie salariale ont miné les raisons culturelles qui conduisaient à ce que les femmes s'isolent pendant leurs menstruations et à atténuer l'autorité suprafamiliale et les échanges sociaux de nourriture et de travail vitaux au fonctionnement de la maison menstruelle mais aussi de la maison des hommes.	4346	yes
Plusieurs des sols fouillés présentent un faciès géologique correspondant au résultat de l'érosion de sols communément associée à de l'agriculture. Celle-ci fut particulièrement intense dès l'origine. Des os de rats originaires d'Asie de l'est (Rattus tanezumi), dès les niveaux les plus anciens, attestent de l'introduction d'animaux domestiques depuis l'ouest,. Peut-être est-ce l'origine des ancêtres des cochons (Sus scrofa domesticus) et des chiens dont des ossements ont été retrouvés et pour lesquels l'analyse de dents par mesure des ratios d'isotope du strontium indique qu'ils ont grandi sur Fais et ont été pour certains nourris avec du poisson,. Les ossements d'oiseaux correspondent à quatorze espèces d'oiseaux de mer, cinq espèces d'oiseaux côtiers migrateurs, quatre espèces d'oiseaux terrestres et une espèce de volaille introduite (Gallus gallus). Neuf espèces d'oiseaux de mer et trois d'oiseaux terrestres ont depuis disparu de l'île. Le coq, originaire du sud-est de l'Asie, est consommé dès l'origine sur l'île mais sa présence est plus importante par la suite. D'après des analyses d'ADN, une nouvelle population de coq arrive entre 1340 et 1470. Elle pourrait être liée à des changements culturels à l'œuvre sur les îles Yap et ayant influencé la population de Fais. Ils se traduiraient par exemple par l'utilisation de grattoirs confectionnés dans des mollusques du genre cassis et un nouveau de type de céramique yapaise. Une autre hypothèse est l'introduction de ces animaux depuis la Polynésie. L'origine est-asiatique du cochon, du rat et de la première population de coq, la présence du chien beaucoup plus courante à l'ouest qu'à l'est de Fais, peut-être pour des raisons culturelles, et la rareté de l'attestation de ces quatre animaux pour des périodes anciennes en un même lieu, pourrait être révélatrice de l'importance de Fais dans les relations entre l'ouest et le centre-est de la Micronésie.	4312	yes
L'histoire de l'île durant la Seconde Guerre mondiale et le ressenti de la population — interloquée et effrayée — sont connus par un chant composé après la guerre. Durant cette période, Fais est défendue par des forces navales japonaises stationnées sur l'île et un champ de mine est installé sur le plateau. De jeunes hommes sont envoyés sur les îles Yap afin d'y travailler aux défenses contre les bombardements américains. Un sous-marin américain, le USS Drum tire sur les installations japonaises de l'île le 4 juillet 1944. Un contact avec un navire de reconnaissance américain a lieu le 20 décembre 1944. Par la suite, l'île est bombardée par les navires américains et la population ne peut se réfugier que dans des abris de fortune. Des forces armées investissent l'île avec des véhicules amphibies le 1er janvier 1945. Le 4 janvier 1945, les insulaires sont rassemblés devant la maison du chef suprême de l'île pour y assister à la levée du drapeau américain. 	4316	yes
Les insulaires vouaient anciennement un culte à des dieux et aux esprits des ancêtres. Ces derniers n'étaient pas forcément bienveillants : un conte du début du XIXe siècle narre l'histoire d'un esprit — iälus en ulithi — qui profite du départ d'un homme, parti danser dans la maison des hommes, pour s'attaquer à sa femme et à ses trois enfants et leur ôter les yeux. À son retour, le mari fait fuir l'esprit en soufflant dans un triton avant de le faire s'envoler par un trou du toit. D'après l'ethnologue Augustin Krämer, le dieu Ëlulap a eu deux fils, Róngola, qui a pour femme Lagasilang et Lemarëleng, et Lugeileng. Ce dernier, avec Jóural, a également eu deux fils, Saulal et Jélefath. Olefat est le fils de Jélefath. Wolofad — variante de transcription de Jélefath — est la figure centrale du panthéon divin local. Associé aux changements culturels, il a transmis le feu, le tissage et les arts. Il est également un héros porteur de troubles et de calamités. Le charpentier de Lugeileng, Sëlang, a montré aux habitants de Ngulu et de Satowan comment construire un bateau, une maison et le bol à couvercle. Les insulaires de Ngulu ont ensuite montré ce savoir aux habitants des îles Yap qui l'ont transmis à ceux d'Ulithi qui l'ont appris à la population de Fais qui l'a communiqué à ceux de Woleai. Depuis Satowan, le savoir a été transmis progressivement vers l'est. Certains dieux sont communs aux îles Yap et à Ulithi,. Il existait des pratiques de divination au moyen de nœuds, par exemple, pour savoir si la pêche allait être abondante. 	4322	yes
Le 7 avril 2004, le typhon Sudal passe à 65 km au sud-sud-est de Fais avec une vitesse maximale des vents de 177 km/h. Il a provoqué d'importants dégâts similaires à ceux du passage de Lupit. Il s'y est ajouté une crise économique pendant quatre mois du fait de la panne du cargo transportant des biens de secours, les magasins ayant souffert de pénuries de stocks. Le prix du riz a ainsi triplé et les habitants ont dû leur subsistance à la nourriture traditionnelle (tubercules, poissons du lagon, jus d'agrumes, extraits d'agrumes, etc.). En 2010, une enquête révèle que les modifications environnementales liées aux changements climatiques sont une préoccupation pour les habitants même si elle est moindre que sur d'autres îles moins élevées. Quelques jours après le passage du typhon, un petit avion civil a été envoyé sur Fais par l'Agence fédérale des situations d'urgence des États-Unis pour apporter quelques secours.	4301	yes
Fuller & Garson (2000) et BirdLife International (2011) considèrent cette espèce comme vulnérable, la chasse alimentaire et surtout la déforestation constituant les deux plus lourdes menaces. La déforestation se poursuit à Bornéo au profit de l’agriculture (plantations de palmiers à huile et d’hévéas), de l’urbanisation et de l’exploitation du bois. La chasse de subsistance est aussi très répandue à Bornéo et, dans certains secteurs, les plumes sont utilisées en décoration. À ce sombre tableau, s’ajoutent les gigantesques incendies qui ont ravagé une grande partie de l’île ces dernières années.L’espèce est protégée par la réglementation indonésienne et reste encore présente dans au moins trois sites protégés : le parc national de Bukit Raya (Kalimantan), les parcs nationaux de Gunung Mulu et Lanjak-Entimau (Sarawak) et la vallée de Danum (Sabah). Fuller & Garson (2000) recommandent de mener des études de terrain afin de mieux comprendre les exigences écologiques de l’espèce et sa répartition, de soutenir le projet d’extension du parc national de Bukit Raya et les propositions de création de nouvelles réserves, de mieux réglementer l’exploitation forestière avec interdiction de chasser à leurs employés et d’inclure le faisan de Bulwer sur la liste des espèces en danger en Malaisie.	4380	yes
Les îles Carolines sont sous domination espagnole du XVIe siècle jusqu'à la fin du XIXe siècle, mais la plupart des communautés des îles de l'actuel État de Yap n'ont que peu de contacts avec les Européens et vivent en toute indépendance. En 1885, à la suite d'un conflit entre l'Espagne et l'Allemagne, l'arbitrage de Léon XIII en confirme la possession à l'Espagne contre des avantages commerciaux pour l'Allemagne. Celle-ci acquiert ces îles en 1899 et les intègrent à la Nouvelle-Guinée allemande,. Au début de la première guerre mondiale, en 1914, l'Empire du Japon occupe la zone. Cette occupation est légalisée dans le cadre du Mandat des îles du Pacifique créé en 1919 par la Société des Nations. Le phosphate de l'île est exploité par les japonais entre 1937 et 1944.	4315	yes
L'île ne comporte pas de mammifères durant le Pléistocène si ce n'est des rats et des chauves-souris. Une espèce de chauve-souris du genre Pteropus est encore rencontrée sur l'île, mais son identification spécifique reste à être précisée. Des cochons et des chiens ont été introduits par l'homme depuis environ 450 apr. J.-C., voire peut-être 220 apr. J.-C., depuis les Philippines, l'Indonésie ou la Mélanésie du Nord, ou peut-être, pour les chiens, des îles Caroline orientales. Ces populations étaient abattues jeunes, peut-être, dans le cas des cochons, par manque de nourriture suffisante pour les élever jusqu'à l'état adulte. Elles paraissent avoir été consommées de temps à autre, peut-être lors de certains évènements. Lors de sa visite de l'île en 1909, l'allemand Krämer compte de nombreux rats, aucun chien, mais trois cochons et des poules pour l'alimentation.	4306	yes
La population actuelle parle l'ulithi. La religion pratiquée est le christianisme mais une croyance aux esprits des ancêtres perdure. La population dispose d'une école primaire, d'un dispensaire et de quelques biens électroniques. L'alimentation est fondée sur la pêche (poissons de lagon et de récifs, requin, tortue) et une agriculture traditionnelle de subsistance (patate douce, manioc, aracées, fruits de l'arbre à pain, figue bossue, nono, etc.), très peu de nourriture importée étant consommée. La qualité du tabac produit à Fais est reconnue par la population voisine d'Ulithi. Le territoire de l'île est traditionnellement organisé en un complexe système de parcelles réparties entre les différentes familles. Les zones de pêche sont quant à elles différenciées par deux systèmes géographiques non écrits. L'eau potable est préférentiellement fournie par les noix de coco, l'eau de pluie servant pour l'agriculture. Les puits qui ont été creusés ne sont pas utilisés.	4295	yes
Jacques Canetti, de retour des États-Unis avec Michel Legrand au début des années 1950, fait découvrir le rock à Boris Vian, qui commence à écrire des chansons dans le même genre. Dans une note technique, il en retient deux aspects : « un aspect sensuel, pour ne pas dire érotique, et un aspect comique. » C'est pourtant ce second aspect, moins important, qu'il privilégie, car « le côté exutoire du rock'n roll n'a pas de raison d'être en France, où le public n'est pas paralysé par le puritanisme au même degré [qu'aux États-Unis]. »	4289	yes
La taxonomie des faisans leucomèles a été longtemps controversée car ses représentants n’offrent pas toujours des caractères bien tranchés. De très nombreuses autres sous-espèces ont été décrites mais leur validité n’a pas été retenue car il s’agissait souvent d’hybrides probables entre sous-espèces voire de spécimens uniques. Delacour (1948), dans sa révision du genre Lophura, avait simplifié la classification en la rendant plus compréhensible car elle était basée sur la biologie (maturité des mâles, couleur des pattes), la biogéographie et la phylogénie. McGowan & Panchen (1994) ont exclu les sous-espèces lineata et crawfurdi de leucomelanos pour les intégrer dans nycthemera. Cette évaluation taxonomique, basée sur la biogéographie, suggérait de considérer comme sous-espèces de nycthemera toutes les formes localisées à l’est de la rivière Irraouaddy et comme sous-espèces de leucomelanos celles à l’ouest.	4406	yes
